image,timestamp,input_rate,confidence,absolute_time_from_start,cpu_utility,detection_boxes,model_processing_time,image_processing_time,utility,model
1,2024-12-01T17:36:02.230229,1,0.8808498382568359,2.109078884124756,23.9,1,2.1081302165985107,2.7718374729156494,-0.4454938173294067,yolov5x
2,2024-12-01T17:36:02.899573,1,0.8532446622848511,2.778435707092285,46.1,3,0.5211708545684814,1.444136381149292,0.2045541405677795,yolov5x
3,2024-12-01T17:36:05.246131,1,0.491197258234024,5.1249988079071045,27.2,1,0.7781715393066406,1.7755444049835205,-0.3921735733747482,yolov5x
4,2024-12-01T17:36:06.459124,1,0,6.337985038757324,30.1,0,0.4177465438842773,1.007070779800415,-0.2535353899002075,yolov5x
4,2024-12-01T17:36:06.459124,1,0,6.337985038757324,30.1,0,0.4177465438842773,1.007070779800415,-0.2535353899002075,yolov5x
4,2024-12-01T17:36:06.459124,1,0,6.337985038757324,30.1,0,0.4177465438842773,1.007070779800415,-0.2535353899002075,yolov5x
5,2024-12-01T17:36:08.666100,1,0.9066329002380372,8.544965982437134,21.7,1,0.4808146953582763,1.207646131515503,0.3494933843612671,yolov5x
6,2024-12-01T17:36:09.721076,1,0.4144727289676666,9.59994101524353,29.7,2,0.2534132003784179,0.2693867683410644,0.0919297486543655,yolov5x
7,2024-12-01T17:36:11.828940,1,0.9248490333557128,11.70780062675476,28.0,1,0.3563332557678222,0.3767642974853515,0.6508066654205322,yolov5x
7,2024-12-01T17:36:11.828940,1,0.9248490333557128,11.70780062675476,28.0,1,0.3563332557678222,0.3767642974853515,0.6508066654205322,yolov5x
8,2024-12-01T17:36:14.562041,1,0.590236226717631,14.440906286239624,24.1,3,0.4128856658935547,1.1023521423339844,0.2439420421918233,yolov5x
8,2024-12-01T17:36:14.562041,1,0.590236226717631,14.440906286239624,24.1,3,0.4128856658935547,1.1023521423339844,0.2439420421918233,yolov5x
8,2024-12-01T17:36:14.562041,1,0.590236226717631,14.440906286239624,24.1,3,0.4128856658935547,1.1023521423339844,0.2439420421918233,yolov5x
9,2024-12-01T17:36:17.259017,1,0.5650174021720886,17.137881755828857,25.9,1,0.6685423851013184,1.7771878242492676,-0.1060852110385894,yolov5x
9,2024-12-01T17:36:17.259017,1,0.5650174021720886,17.137881755828857,25.9,1,0.6685423851013184,1.7771878242492676,-0.1060852110385894,yolov5x
11,2024-12-01T17:36:20.461364,1,0.9111868143081664,20.34022855758667,28.7,1,0.3648715019226074,1.0036289691925049,0.4537789225578308,yolov5x
11,2024-12-01T17:36:20.461364,1,0.9111868143081664,20.34022855758667,28.7,1,0.3648715019226074,1.0036289691925049,0.4537789225578308,yolov5x
12,2024-12-01T17:36:21.946755,1,0.5736338496208191,21.825616598129272,31.2,1,0.4526920318603515,0.4911396503448486,0.5323867499828339,yolov5x
12,2024-12-01T17:36:21.946755,1,0.5736338496208191,21.825616598129272,31.2,1,0.4526920318603515,0.4911396503448486,0.5323867499828339,yolov5x
12,2024-12-01T17:36:21.946755,1,0.5736338496208191,21.825616598129272,31.2,1,0.4526920318603515,0.4911396503448486,0.5323867499828339,yolov5x
13,2024-12-01T17:36:25.004823,1,0.7318993806838989,24.883686780929565,24.7,2,0.6562221050262451,1.535088062286377,0.0984056591987609,yolov5x
13,2024-12-01T17:36:25.004823,1,0.7318993806838989,24.883686780929565,24.7,2,0.6562221050262451,1.535088062286377,0.0984056591987609,yolov5x
14,2024-12-01T17:36:26.853922,1,0.9640949964523317,26.732783555984497,28.4,1,0.5681331157684326,1.384648323059082,0.2897233366966247,yolov5x
15,2024-12-01T17:36:28.740083,1,0.9436438679695128,28.61894679069519,27.2,1,0.5332450866699219,1.2746906280517578,0.3344766199588775,yolov5x
15,2024-12-01T17:36:28.740083,1,0.9436438679695128,28.61894679069519,27.2,1,0.5332450866699219,1.2746906280517578,0.3344766199588775,yolov5x
15,2024-12-01T17:36:28.740083,1,0.9436438679695128,28.61894679069519,27.2,1,0.5332450866699219,1.2746906280517578,0.3344766199588775,yolov5x
15,2024-12-01T17:36:28.740083,1,0.9436438679695128,28.61894679069519,27.2,1,0.5332450866699219,1.2746906280517578,0.3344766199588775,yolov5x
17,2024-12-01T17:36:33.652779,1,0.6658167541027069,33.53163766860962,43.4,2,0.5453824996948242,2.1850428581237797,-0.2596130520105362,yolov5x
18,2024-12-01T17:36:34.346274,1,0.8749606907367706,34.225138664245605,48.4,2,0.5507590770721436,0.878115177154541,0.8765379339456558,yolov5x
19,2024-12-01T17:36:36.299155,1,0.951193869113922,36.1780161857605,26.4,1,0.3136560916900635,0.8371920585632324,0.8941929638385773,yolov5x
19,2024-12-01T17:36:36.299155,1,0.951193869113922,36.1780161857605,26.4,1,0.3136560916900635,0.8371920585632324,0.8941929638385773,yolov5x
20,2024-12-01T17:36:38.498532,1,0.9717878699302672,38.37739562988281,22.6,1,0.4382717609405517,1.0333547592163086,0.4692165553569793,yolov5x
20,2024-12-01T17:36:38.498532,1,0.9717878699302672,38.37739562988281,22.6,1,0.4382717609405517,1.0333547592163086,0.4692165553569793,yolov5x
21,2024-12-01T17:36:40.553497,1,0.9589051008224488,40.432361364364624,27.0,1,0.4860665798187256,1.0876126289367676,0.4356462359428406,yolov5x
21,2024-12-01T17:36:40.553497,1,0.9589051008224488,40.432361364364624,27.0,1,0.4860665798187256,1.0876126289367676,0.4356462359428406,yolov5x
21,2024-12-01T17:36:40.553497,1,0.9589051008224488,40.432361364364624,27.0,1,0.4860665798187256,1.0876126289367676,0.4356462359428406,yolov5x
22,2024-12-01T17:36:42.836496,1,0.9545497298240662,42.71535563468933,26.2,1,0.5926690101623535,1.3622889518737793,0.2961303889751434,yolov5x
23,2024-12-01T17:36:44.924335,1,0.600142315030098,44.80319952964783,26.3,2,0.5823996067047119,1.4464311599731443,0.0768555775284767,yolov5x
23,2024-12-01T17:36:44.924335,1,0.600142315030098,44.80319952964783,26.3,2,0.5823996067047119,1.4464311599731443,0.0768555775284767,yolov5x
24,2024-12-01T17:36:46.887313,1,0.9419967532157898,46.76616930961609,29.8,1,0.5385539531707764,1.408895492553711,0.2665506303310394,yolov5x
25,2024-12-01T17:36:48.688524,1,0.9321947693824768,48.56738424301148,26.9,1,0.5287690162658691,1.216104507446289,0.3580451309680938,yolov5x
25,2024-12-01T17:36:48.688524,1,0.9321947693824768,48.56738424301148,26.9,1,0.5287690162658691,1.216104507446289,0.3580451309680938,yolov5x
26,2024-12-01T17:36:50.615098,1,0.9578045010566713,50.49395942687988,26.8,1,0.5207822322845459,1.1438140869140625,0.4069952070713043,yolov5x
27,2024-12-01T17:36:51.978430,1,0.9363961815834044,51.85729360580444,33.3,1,0.4734628200531006,0.5087060928344727,0.7225511372089386,yolov5x
27,2024-12-01T17:36:51.978430,1,0.9363961815834044,51.85729360580444,33.3,1,0.4734628200531006,0.5087060928344727,0.7225511372089386,yolov5x
28,2024-12-01T17:36:54.427239,1,0.960005521774292,54.3060986995697,23.0,1,0.3817746639251709,0.95497727394104,0.957491397857666,yolov5x
28,2024-12-01T17:36:54.427239,1,0.960005521774292,54.3060986995697,23.0,1,0.3817746639251709,0.95497727394104,0.957491397857666,yolov5x
29,2024-12-01T17:36:56.746826,1,0.968176245689392,56.62569189071655,25.9,1,0.5782203674316406,1.2676429748535156,0.3502666354179382,yolov5x
29,2024-12-01T17:36:56.746826,1,0.968176245689392,56.62569189071655,25.9,1,0.5782203674316406,1.2676429748535156,0.3502666354179382,yolov5x
30,2024-12-01T17:36:58.533182,1,0.9634423851966858,58.41204237937927,26.8,1,0.4227035045623779,1.0578904151916504,0.4527759850025177,yolov5x
31,2024-12-01T17:36:59.857797,1,0.9364027976989746,59.73665761947632,29.5,1,0.3493878841400146,0.3849904537200928,0.6606966257095337,yolov5x
32,2024-12-01T17:37:01.773191,1,0.8646409511566162,61.65205478668213,23.7,1,0.2852640151977539,0.2995901107788086,0.5821155309677124,yolov5x
32,2024-12-01T17:37:01.773191,1,0.8646409511566162,61.65205478668213,23.7,1,0.2852640151977539,0.2995901107788086,0.5821155309677124,yolov5x
32,2024-12-01T17:37:01.773191,1,0.8646409511566162,61.65205478668213,23.7,1,0.2852640151977539,0.2995901107788086,0.5821155309677124,yolov5x
33,2024-12-01T17:37:04.607053,1,0.9442976713180542,64.48591589927673,24.0,1,0.4915978908538818,1.1283977031707764,0.4079499840736389,yolov5x
33,2024-12-01T17:37:04.607053,1,0.9442976713180542,64.48591589927673,24.0,1,0.4915978908538818,1.1283977031707764,0.4079499840736389,yolov5x
34,2024-12-01T17:37:06.460763,1,0.9379216432571412,66.33961606025696,29.1,1,0.4155130386352539,0.9841310977935792,0.96102637052536,yolov5x
34,2024-12-01T17:37:06.460763,1,0.9379216432571412,66.33961606025696,29.1,1,0.4155130386352539,0.9841310977935792,0.96102637052536,yolov5x
36,2024-12-01T17:37:09.904961,1,0.9524073004722596,69.78382158279419,36.5,1,0.3716068267822265,0.4276378154754638,0.6900225579738617,yolov5x
36,2024-12-01T17:37:09.904961,1,0.9524073004722596,69.78382158279419,36.5,1,0.3716068267822265,0.4276378154754638,0.6900225579738617,yolov5x
37,2024-12-01T17:37:11.927086,1,0.9508897066116332,71.80594754219055,26.0,1,0.3934881687164306,0.4474179744720459,0.6991538405418396,yolov5x
37,2024-12-01T17:37:11.927086,1,0.9508897066116332,71.80594754219055,26.0,1,0.3934881687164306,0.4474179744720459,0.6991538405418396,yolov5x
37,2024-12-01T17:37:11.927086,1,0.9508897066116332,71.80594754219055,26.0,1,0.3934881687164306,0.4474179744720459,0.6991538405418396,yolov5x
38,2024-12-01T17:37:14.578931,1,0.951452136039734,74.45779252052307,26.8,1,0.5244531631469727,1.0984961986541748,0.4264779686927795,yolov5x
38,2024-12-01T17:37:14.578931,1,0.951452136039734,74.45779252052307,26.8,1,0.5244531631469727,1.0984961986541748,0.4264779686927795,yolov5x
39,2024-12-01T17:37:17.077777,1,0.8963226079940796,76.9566421508789,26.1,1,0.6165430545806885,1.5808889865875244,0.1577168107032776,yolov5x
39,2024-12-01T17:37:17.077777,1,0.8963226079940796,76.9566421508789,26.1,1,0.6165430545806885,1.5808889865875244,0.1577168107032776,yolov5x
40,2024-12-01T17:37:19.601018,1,0.9421653747558594,79.4798789024353,27.7,1,0.737403154373169,2.087540626525879,-0.0726876258850097,yolov5x
41,2024-12-01T17:37:20.379636,1,0.5939201712608337,80.2584958076477,53.1,2,0.6598577499389648,0.8962008953094482,0.745060533285141,yolov5x
41,2024-12-01T17:37:20.379636,1,0.5939201712608337,80.2584958076477,53.1,2,0.6598577499389648,0.8962008953094482,0.745060533285141,yolov5x
42,2024-12-01T17:37:22.477925,1,0.9205547173817952,82.35678505897522,23.5,3,0.376535415649414,0.993762731552124,0.9571587244669596,yolov5x
42,2024-12-01T17:37:22.477925,1,0.9205547173817952,82.35678505897522,23.5,3,0.376535415649414,0.993762731552124,0.9571587244669596,yolov5x
43,2024-12-01T17:37:24.551663,1,0.9271355271339417,84.43052768707275,25.3,1,0.4399232864379883,1.0670874118804932,0.4300240576267242,yolov5x
44,2024-12-01T17:37:26.672012,1,0.971805214881897,86.55087757110596,26.4,1,0.5467219352722168,1.183515548706055,0.3941448330879211,yolov5x
44,2024-12-01T17:37:26.672012,1,0.971805214881897,86.55087757110596,26.4,1,0.5467219352722168,1.183515548706055,0.3941448330879211,yolov5x
45,2024-12-01T17:37:28.613838,1,0.7336744368076324,88.49270248413086,26.9,2,0.5640592575073242,1.1291823387145996,0.3022460490465164,yolov5x
46,2024-12-01T17:37:29.822935,1,0.955158829689026,89.70179581642151,30.0,1,0.3292458057403564,0.338592529296875,0.6468756794929504,yolov5x
46,2024-12-01T17:37:29.822935,1,0.955158829689026,89.70179581642151,30.0,1,0.3292458057403564,0.338592529296875,0.6468756794929504,yolov5x
46,2024-12-01T17:37:29.822935,1,0.955158829689026,89.70179581642151,30.0,1,0.3292458057403564,0.338592529296875,0.6468756794929504,yolov5x
47,2024-12-01T17:37:32.998601,1,0.9537778496742249,92.87746548652648,23.9,1,0.7622122764587402,1.503194808959961,0.2252915203571319,yolov5x
48,2024-12-01T17:37:34.367545,1,0.9134172201156616,94.24640035629272,29.3,1,0.354794979095459,0.8809506893157959,0.8971839547157288,yolov5x
48,2024-12-01T17:37:34.367545,1,0.9134172201156616,94.24640035629272,29.3,1,0.354794979095459,0.8809506893157959,0.8971839547157288,yolov5x
49,2024-12-01T17:37:36.600757,1,0.7558243274688721,96.47961449623108,25.1,2,0.4658906459808349,1.1104538440704346,0.3226852416992187,yolov5x
49,2024-12-01T17:37:36.600757,1,0.7558243274688721,96.47961449623108,25.1,2,0.4658906459808349,1.1104538440704346,0.3226852416992187,yolov5x
50,2024-12-01T17:37:38.865043,1,0,98.74390363693236,27.5,0,0.616600513458252,1.3673591613769531,-0.4336795806884765,yolov5x
50,2024-12-01T17:37:38.865043,1,0,98.74390363693236,27.5,0,0.616600513458252,1.3673591613769531,-0.4336795806884765,yolov5x
51,2024-12-01T17:37:40.743890,1,0.9466495513916016,100.62275075912476,33.5,1,0.5176105499267578,1.2475957870483398,0.3495268821716308,yolov5x
52,2024-12-01T17:37:42.677760,1,0.9660828113555908,102.55662107467651,30.5,1,0.5700042247772217,1.1839094161987305,0.3910866975784302,yolov5x
52,2024-12-01T17:37:42.677760,1,0.9660828113555908,102.55662107467651,30.5,1,0.5700042247772217,1.1839094161987305,0.3910866975784302,yolov5x
52,2024-12-01T17:37:42.677760,1,0.9660828113555908,102.55662107467651,30.5,1,0.5700042247772217,1.1839094161987305,0.3910866975784302,yolov5x
54,2024-12-01T17:37:45.870047,1,0.9338973760604858,105.74891018867493,57.7,1,0.2462964057922363,0.3772826194763183,0.6555899977684021,yolov5x
54,2024-12-01T17:37:45.870047,1,0.9338973760604858,105.74891018867493,57.7,1,0.2462964057922363,0.3772826194763183,0.6555899977684021,yolov5x
54,2024-12-01T17:37:45.870047,1,0.9338973760604858,105.74891018867493,57.7,1,0.2462964057922363,0.3772826194763183,0.6555899977684021,yolov5x
55,2024-12-01T17:37:48.950478,1,0.9535064101219176,108.82933807373048,24.7,1,0.6001899242401123,1.44297194480896,0.2552672326564789,yolov5x
56,2024-12-01T17:37:50.581926,1,0.8980884552001953,110.4607915878296,28.0,1,0.4620652198791504,1.0858900547027588,0.4060992002487182,yolov5x
56,2024-12-01T17:37:50.581926,1,0.8980884552001953,110.4607915878296,28.0,1,0.4620652198791504,1.0858900547027588,0.4060992002487182,yolov5x
57,2024-12-01T17:37:52.672557,1,0.9618728160858154,112.55141854286194,25.7,1,0.512732982635498,1.1732492446899414,0.394311785697937,yolov5x
57,2024-12-01T17:37:52.672557,1,0.9618728160858154,112.55141854286194,25.7,1,0.512732982635498,1.1732492446899414,0.394311785697937,yolov5x
58,2024-12-01T17:37:54.649888,1,0.7898005545139313,114.52874803543092,27.1,2,0.5136010646820068,1.1520237922668457,0.3188883811235428,yolov5x
59,2024-12-01T17:37:55.982673,1,0.3926795721054077,115.86153411865234,31.7,1,0.391566514968872,0.4859802722930908,0.1893299221992492,yolov5x
59,2024-12-01T17:37:55.982673,1,0.3926795721054077,115.86153411865234,31.7,1,0.391566514968872,0.4859802722930908,0.1893299221992492,yolov5x
60,2024-12-01T17:37:57.864037,1,0.9427613019943236,117.74290060997008,25.4,1,0.33705735206604,0.3682522773742676,0.6555067896842957,yolov5x
60,2024-12-01T17:37:57.864037,1,0.9427613019943236,117.74290060997008,25.4,1,0.33705735206604,0.3682522773742676,0.6555067896842957,yolov5x
61,2024-12-01T17:38:00.849632,1,0.8606899678707123,120.72849798202516,23.4,2,0.6410787105560303,1.3469653129577637,0.2568623274564743,yolov5x
62,2024-12-01T17:38:01.724339,1,0.8831988573074341,121.60319781303406,26.5,1,0.1954827308654785,0.2270510196685791,0.5551249384880066,yolov5x
62,2024-12-01T17:38:01.724339,1,0.8831988573074341,121.60319781303406,26.5,1,0.1954827308654785,0.2270510196685791,0.5551249384880066,yolov5x
62,2024-12-01T17:38:01.724339,1,0.8831988573074341,121.60319781303406,26.5,1,0.1954827308654785,0.2270510196685791,0.5551249384880066,yolov5x
63,2024-12-01T17:38:04.693182,1,0.9589487910270692,124.57204580307008,21.6,1,0.4186186790466308,1.1861279010772705,0.3864104449748993,yolov5x
63,2024-12-01T17:38:04.693182,1,0.9589487910270692,124.57204580307008,21.6,1,0.4186186790466308,1.1861279010772705,0.3864104449748993,yolov5x
64,2024-12-01T17:38:06.576205,1,0.9558364748954772,126.45507192611694,24.5,1,0.396768569946289,1.071213722229004,0.4423113763332367,yolov5x
65,2024-12-01T17:38:08.575286,1,0.5081087946891785,128.45414566993713,25.9,2,0.453993558883667,1.0723741054534912,0.2178673446178436,yolov5x
66,2024-12-01T17:38:09.823327,1,0.915031671524048,129.70218801498413,30.5,1,0.303581953048706,0.3225445747375488,0.6187881231307983,yolov5x
66,2024-12-01T17:38:09.823327,1,0.915031671524048,129.70218801498413,30.5,1,0.303581953048706,0.3225445747375488,0.6187881231307983,yolov5x
67,2024-12-01T17:38:11.880967,1,0.7430146336555481,131.7598271369934,25.0,1,0.3533306121826172,0.3785703182220459,0.560792475938797,yolov5x
67,2024-12-01T17:38:11.880967,1,0.7430146336555481,131.7598271369934,25.0,1,0.3533306121826172,0.3785703182220459,0.560792475938797,yolov5x
67,2024-12-01T17:38:11.880967,1,0.7430146336555481,131.7598271369934,25.0,1,0.3533306121826172,0.3785703182220459,0.560792475938797,yolov5x
68,2024-12-01T17:38:15.126504,1,0.9513924717903136,135.0053675174713,25.7,1,0.6255779266357422,1.6069438457489014,0.1722243130207061,yolov5x
69,2024-12-01T17:38:16.016168,1,0.9437299370765686,135.89503169059753,42.2,1,0.456585168838501,0.5124597549438477,0.7280948460102081,yolov5x
69,2024-12-01T17:38:16.016168,1,0.9437299370765686,135.89503169059753,42.2,1,0.456585168838501,0.5124597549438477,0.7280948460102081,yolov5x
70,2024-12-01T17:38:18.566955,1,0.9666547775268556,138.44581007957458,24.1,1,0.4625759124755859,1.0598571300506592,0.4533988237380981,yolov5x
70,2024-12-01T17:38:18.566955,1,0.9666547775268556,138.44581007957458,24.1,1,0.4625759124755859,1.0598571300506592,0.4533988237380981,yolov5x
71,2024-12-01T17:38:20.650129,1,0.951103448867798,140.52899408340454,23.4,1,0.451545238494873,1.13895845413208,0.4060724973678589,yolov5x
72,2024-12-01T17:38:21.886645,1,0.939428687095642,141.7655053138733,29.6,1,0.3481512069702148,0.3789751529693603,0.6592019200325012,yolov5x
